dt:3.01241993904,J_ar:599,J_se:89,J_ds:1,J_ss:12,J_ms:0
dt:1.03330397606,J_ar:207,J_se:28,J_ds:19,J_ss:4,J_ms:19
dt:1.00180411339,J_ar:196,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.03767299652,J_ar:200,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.05183696747,J_ar:202,J_se:32,J_ds:17,J_ss:5,J_ms:17
dt:1.00266909599,J_ar:197,J_se:29,J_ds:16,J_ss:4,J_ms:16
dt:1.00295686722,J_ar:201,J_se:30,J_ds:16,J_ss:4,J_ms:16
dt:1.02380108833,J_ar:204,J_se:28,J_ds:17,J_ss:4,J_ms:17
dt:1.00701093674,J_ar:192,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.01421093941,J_ar:202,J_se:30,J_ds:17,J_ss:4,J_ms:17
dt:1.05630707741,J_ar:208,J_se:32,J_ds:17,J_ss:5,J_ms:17
dt:1.04715394974,J_ar:208,J_se:31,J_ds:18,J_ss:4,J_ms:18
dt:1.04671812057,J_ar:206,J_se:32,J_ds:17,J_ss:4,J_ms:17
dt:1.05149292946,J_ar:208,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.00583410263,J_ar:202,J_se:30,J_ds:17,J_ss:4,J_ms:17
dt:1.01008701324,J_ar:196,J_se:31,J_ds:16,J_ss:4,J_ms:16
dt:1.01143693924,J_ar:183,J_se:30,J_ds:17,J_ss:4,J_ms:17
dt:1.06762504578,J_ar:213,J_se:27,J_ds:17,J_ss:5,J_ms:17
dt:1.00405192375,J_ar:198,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.03020596504,J_ar:205,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.03680205345,J_ar:204,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.04044699669,J_ar:203,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.00824308395,J_ar:198,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.0286397934,J_ar:207,J_se:30,J_ds:17,J_ss:5,J_ms:17
dt:1.01473903656,J_ar:200,J_se:29,J_ds:16,J_ss:3,J_ms:16
dt:1.09365916252,J_ar:217,J_se:33,J_ds:18,J_ss:5,J_ms:18
dt:1.01719880104,J_ar:199,J_se:30,J_ds:17,J_ss:4,J_ms:17
dt:1.0559990406,J_ar:210,J_se:32,J_ds:18,J_ss:3,J_ms:18
dt:1.05187511444,J_ar:208,J_se:32,J_ds:17,J_ss:4,J_ms:17
dt:1.00013303757,J_ar:201,J_se:30,J_ds:16,J_ss:4,J_ms:16
dt:1.04311680794,J_ar:207,J_se:31,J_ds:18,J_ss:5,J_ms:18
dt:1.01531910896,J_ar:183,J_se:30,J_ds:17,J_ss:4,J_ms:17
dt:1.00712800026,J_ar:195,J_se:30,J_ds:16,J_ss:3,J_ms:16
dt:1.05197191238,J_ar:198,J_se:32,J_ds:17,J_ss:4,J_ms:17
dt:1.03016519547,J_ar:182,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.01622200012,J_ar:195,J_se:30,J_ds:17,J_ss:4,J_ms:17
dt:1.02508187294,J_ar:202,J_se:31,J_ds:16,J_ss:4,J_ms:16
dt:1.01211810112,J_ar:201,J_se:31,J_ds:17,J_ss:5,J_ms:17
dt:1.00561094284,J_ar:190,J_se:29,J_ds:17,J_ss:4,J_ms:17
dt:1.01133394241,J_ar:201,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.03494310379,J_ar:205,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.01012086868,J_ar:192,J_se:30,J_ds:17,J_ss:4,J_ms:17
dt:1.03287601471,J_ar:207,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.03470396996,J_ar:199,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.02701306343,J_ar:205,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.02188205719,J_ar:197,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.03186392784,J_ar:202,J_se:31,J_ds:17,J_ss:5,J_ms:17
dt:1.03221893311,J_ar:199,J_se:31,J_ds:17,J_ss:3,J_ms:17
dt:1.03295016289,J_ar:208,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.01896595955,J_ar:201,J_se:31,J_ds:17,J_ss:4,J_ms:17
